Price,Close,High,Low,Open,Volume
Ticker,AAF.L,AAF.L,AAF.L,AAF.L,AAF.L
09-07-2020,59.68580627,61.68198711,58.29646612,61.58217959,1101847
10-07-2020,60.98333359,63.12922988,59.88543546,59.88543546,696419
11-07-2020,,,,,
12-07-2020,,,,,
13-07-2020,63.47855377,63.47855377,61.03223376,62.77989347,862266
14-07-2020,63.47855377,65.17531218,60.08504838,63.27893872,1016244
15-07-2020,61.38256454,64.57645104,61.18294569,63.57836436,730281
16-07-2020,62.08123016,63.27893953,60.78371327,61.38256605,468359
17-07-2020,61.28276062,62.28085116,59.88543234,59.88543234,505749
18-07-2020,,,,,
19-07-2020,,,,,
20-07-2020,62.38065338,62.87969861,60.48428,62.87969861,321339
21-07-2020,63.27893829,64.17722125,60.68390075,63.17912696,891706
22-07-2020,62.08123016,63.57836592,60.48428307,62.87970181,643053
23-07-2020,63.87779236,63.89675328,61.28275857,61.28275857,1154121
24-07-2020,59.2865715,63.30887461,59.2865715,60.88351463,762013
25-07-2020,,,,,
26-07-2020,,,,,
27-07-2020,56.89115906,59.88543059,53.4976498,59.08695894,2315636
28-07-2020,55.89306259,60.78370709,54.39592699,60.78370709,1001069
29-07-2020,55.19439697,57.88924175,54.49573295,56.89115137,706260
30-07-2020,53.39783478,58.28847911,52.00050674,56.79134356,708745
31-07-2020,53.69726563,55.79325786,52.89879402,53.09841288,458015
01-08-2020,,,,,
02-08-2020,,,,,
03-08-2020,54.49573898,55.89306719,52.97465082,55.89306719,1024317
04-08-2020,56.79135132,57.19058524,53.89688733,53.89688733,778988
05-08-2020,55.79325485,57.39019797,54.39592677,56.89115277,1412440
06-08-2020,56.29230118,57.96310433,55.39401828,55.39401828,978683
07-08-2020,53.99669647,58.28848882,53.99669647,56.79135302,491654
08-08-2020,,,,,
09-08-2020,,,,,
10-08-2020,56.89115906,58.28848729,54.69535917,56.79135153,517491
11-08-2020,59.8854332,61.18295015,56.99096907,58.38829737,1077224
12-08-2020,59.8854332,61.28276149,57.68963322,57.88925209,799590
13-08-2020,59.78562546,61.38256881,57.39020662,58.68772357,506796
14-08-2020,60.58408737,61.38255892,57.98905008,59.6858045,849402
15-08-2020,,,,,
